0|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|1|(null)|(null)
304|690309|10.32.202.30|678692_10.34.215.25|1|Vlan1|Vlan1@sjc22-22a-HQ-access1|Unknown|1000000000|53|(null)|VLANInterfaceExtended|1|1|1|1899-12-31|2199-12-31
305|690310|10.32.202.30|678692_10.34.215.25|5179|StackPort1|StackPort1@sjc22-22a-HQ-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|2|1|1899-12-31|2199-12-31
306|690311|10.32.202.30|678692_10.34.215.25|5180|StackSub-St1-1|StackSub-St1-1@sjc22-22a-HQ-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|2|1|1899-12-31|2199-12-31
307|690312|10.32.202.30|678692_10.34.215.25|5181|StackSub-St1-2|StackSub-St1-2@sjc22-22a-HQ-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|2|1|1899-12-31|2199-12-31
308|690313|10.32.202.30|678692_10.34.215.25|14501|Null0|Null0@sjc22-22a-HQ-access1|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
309|690314|10.32.202.30|678692_10.34.215.25|14502|FastEthernet0|FastEthernet0@sjc22-22a-HQ-access1|Unknown|100000000|6|f0:f7:55:1c:81:b9|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
310|690315|10.32.202.30|678692_10.34.215.25|10103|GigabitEthernet1/0/3|GigabitEthernet1/0/3@sjc22-22a-HQ-access1|Unknown|100000000|6|f0:f7:55:1c:81:83|SwitchPort|1|2|1|1899-12-31|2199-12-31
311|690316|10.32.202.30|678692_10.34.215.25|10104|GigabitEthernet1/0/4|GigabitEthernet1/0/4@sjc22-22a-HQ-access1|Unknown|1000000000|6|f0:f7:55:1c:81:84|SwitchPort|1|2|1|1899-12-31|2199-12-31
312|690317|10.32.202.30|678692_10.34.215.25|10105|GigabitEthernet1/0/5|GigabitEthernet1/0/5@sjc22-22a-HQ-access1|Unknown|1000000000|6|f0:f7:55:1c:81:85|SwitchPort|1|1|1|1899-12-31|2199-12-31
313|690318|10.32.202.30|678692_10.34.215.25|10106|GigabitEthernet1/0/6|GigabitEthernet1/0/6@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:86|SwitchPort|1|2|1|1899-12-31|2199-12-31
314|690319|10.32.202.30|678692_10.34.215.25|10107|GigabitEthernet1/0/7|GigabitEthernet1/0/7@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:87|SwitchPort|1|2|1|1899-12-31|2199-12-31
315|690320|10.32.202.30|678692_10.34.215.25|10108|GigabitEthernet1/0/8|GigabitEthernet1/0/8@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:88|SwitchPort|1|2|1|1899-12-31|2199-12-31
316|690321|10.32.202.30|678692_10.34.215.25|10109|GigabitEthernet1/0/9|GigabitEthernet1/0/9@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:89|SwitchPort|1|2|1|1899-12-31|2199-12-31
317|690322|10.32.202.30|678692_10.34.215.25|10110|GigabitEthernet1/0/10|GigabitEthernet1/0/10@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:8a|SwitchPort|1|2|1|1899-12-31|2199-12-31
318|690323|10.32.202.30|678692_10.34.215.25|10111|GigabitEthernet1/0/11|GigabitEthernet1/0/11@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:8b|SwitchPort|1|2|1|1899-12-31|2199-12-31
319|690324|10.32.202.30|678692_10.34.215.25|10112|GigabitEthernet1/0/12|GigabitEthernet1/0/12@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:8c|SwitchPort|1|2|1|1899-12-31|2199-12-31
320|690325|10.32.202.30|678692_10.34.215.25|10113|GigabitEthernet1/0/13|GigabitEthernet1/0/13@sjc22-22a-HQ-access1|Unknown|1000000000|6|f0:f7:55:1c:81:8d|SwitchPort|1|1|1|1899-12-31|2199-12-31
321|690326|10.32.202.30|678692_10.34.215.25|10114|GigabitEthernet1/0/14|GigabitEthernet1/0/14@sjc22-22a-HQ-access1|Unknown|1000000000|6|f0:f7:55:1c:81:8e|SwitchPort|1|1|1|1899-12-31|2199-12-31
322|690327|10.32.202.30|678692_10.34.215.25|10115|GigabitEthernet1/0/15|GigabitEthernet1/0/15@sjc22-22a-HQ-access1|Unknown|100000000|6|f0:f7:55:1c:81:8f|SwitchPort|1|2|1|1899-12-31|2199-12-31
323|690328|10.32.202.30|678692_10.34.215.25|10116|GigabitEthernet1/0/16|GigabitEthernet1/0/16@sjc22-22a-HQ-access1|Unknown|1000000000|6|f0:f7:55:1c:81:90|SwitchPort|1|1|1|1899-12-31|2199-12-31
324|690329|10.32.202.30|678692_10.34.215.25|10117|GigabitEthernet1/0/17|GigabitEthernet1/0/17@sjc22-22a-HQ-access1|Unknown|1000000000|6|f0:f7:55:1c:81:91|SwitchPort|1|2|1|1899-12-31|2199-12-31
325|690330|10.32.202.30|678692_10.34.215.25|10118|GigabitEthernet1/0/18|GigabitEthernet1/0/18@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:92|SwitchPort|1|2|1|1899-12-31|2199-12-31
326|690331|10.32.202.30|678692_10.34.215.25|10119|GigabitEthernet1/0/19|GigabitEthernet1/0/19@sjc22-22a-HQ-access1|Unknown|1000000000|6|f0:f7:55:1c:81:93|SwitchPort|1|1|1|1899-12-31|2199-12-31
327|690332|10.32.202.30|678692_10.34.215.25|10120|GigabitEthernet1/0/20|GigabitEthernet1/0/20@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:94|SwitchPort|1|2|1|1899-12-31|2199-12-31
328|690333|10.32.202.30|678692_10.34.215.25|10121|GigabitEthernet1/0/21|GigabitEthernet1/0/21@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:95|SwitchPort|1|2|1|1899-12-31|2199-12-31
329|690334|10.32.202.30|678692_10.34.215.25|10122|GigabitEthernet1/0/22|GigabitEthernet1/0/22@sjc22-22a-HQ-access1|Unknown|1000000000|6|f0:f7:55:1c:81:96|SwitchPort|1|1|1|1899-12-31|2199-12-31
330|690335|10.32.202.30|678692_10.34.215.25|10101|GigabitEthernet1/0/1|GigabitEthernet1/0/1@sjc22-22a-HQ-access1|to sjc22-00a-asr1|1000000000|6|f0:f7:55:1c:81:81|SwitchPort|1|1|1|1899-12-31|2199-12-31
331|690336|10.32.202.30|678692_10.34.215.25|10102|GigabitEthernet1/0/2|GigabitEthernet1/0/2@sjc22-22a-HQ-access1|to sjc22-00a-asr2|1000000000|6|f0:f7:55:1c:81:82|SwitchPort|1|1|1|1899-12-31|2199-12-31
332|690337|10.32.202.30|678692_10.34.215.25|10123|GigabitEthernet1/0/23|GigabitEthernet1/0/23@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:97|SwitchPort|1|2|1|1899-12-31|2199-12-31
333|690338|10.32.202.30|678692_10.34.215.25|10124|GigabitEthernet1/0/24|GigabitEthernet1/0/24@sjc22-22a-HQ-access1|to sjc22-00a-master-sw1|1000000000|6|f0:f7:55:1c:81:98|SwitchPort|1|1|1|1899-12-31|2199-12-31
334|690339|10.32.202.30|678692_10.34.215.25|10125|GigabitEthernet1/1/1|GigabitEthernet1/1/1@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:99|SwitchPort|1|2|1|1899-12-31|2199-12-31
335|690340|10.32.202.30|678692_10.34.215.25|10126|GigabitEthernet1/1/2|GigabitEthernet1/1/2@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:9a|SwitchPort|1|2|1|1899-12-31|2199-12-31
336|690341|10.32.202.30|678692_10.34.215.25|10127|GigabitEthernet1/1/3|GigabitEthernet1/1/3@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:9b|SwitchPort|1|2|1|1899-12-31|2199-12-31
337|690342|10.32.202.30|678692_10.34.215.25|10128|GigabitEthernet1/1/4|GigabitEthernet1/1/4@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:9c|SwitchPort|1|2|1|1899-12-31|2199-12-31
338|690343|10.32.202.30|678692_10.34.215.25|10201|TenGigabitEthernet1/1/1|TenGigabitEthernet1/1/1@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:9d|SwitchPort|1|2|1|1899-12-31|2199-12-31
339|690344|10.32.202.30|678692_10.34.215.25|10202|TenGigabitEthernet1/1/2|TenGigabitEthernet1/1/2@sjc22-22a-HQ-access1|Unknown|10000000|6|f0:f7:55:1c:81:9e|SwitchPort|1|2|1|1899-12-31|2199-12-31
340|690345|10.32.202.30|678686_10.34.215.21|1|Vlan1|Vlan1@sjc22-21a-access1|Unknown|1000000000|53|(null)|VLANInterfaceExtended|1|1|1|1899-12-31|2199-12-31
341|690346|10.32.202.30|678686_10.34.215.21|5137|StackPort1|StackPort1@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
342|690347|10.32.202.30|678686_10.34.215.21|5138|StackSub-St1-1|StackSub-St1-1@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
343|690348|10.32.202.30|678686_10.34.215.21|5139|StackSub-St1-2|StackSub-St1-2@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
344|690349|10.32.202.30|678686_10.34.215.21|5140|StackPort2|StackPort2@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
345|690350|10.32.202.30|678686_10.34.215.21|5141|StackSub-St2-1|StackSub-St2-1@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
346|690351|10.32.202.30|678686_10.34.215.21|5142|StackSub-St2-2|StackSub-St2-2@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
347|690352|10.32.202.30|678686_10.34.215.21|5143|StackPort3|StackPort3@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
348|690353|10.32.202.30|678686_10.34.215.21|5144|StackSub-St3-1|StackSub-St3-1@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
349|690354|10.32.202.30|678686_10.34.215.21|5145|StackSub-St3-2|StackSub-St3-2@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
350|690355|10.32.202.30|678686_10.34.215.21|5146|StackPort4|StackPort4@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
351|690356|10.32.202.30|678686_10.34.215.21|5147|StackSub-St4-1|StackSub-St4-1@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
352|690357|10.32.202.30|678686_10.34.215.21|5148|StackSub-St4-2|StackSub-St4-2@sjc22-21a-access1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
353|690358|10.32.202.30|678686_10.34.215.21|12001|Null0|Null0@sjc22-21a-access1|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
354|690359|10.32.202.30|678686_10.34.215.21|12002|FastEthernet0|FastEthernet0@sjc22-21a-access1|Unknown|100000000|6|2c:36:f8:1a:0d:39|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
355|690360|10.32.202.30|678686_10.34.215.21|10113|GigabitEthernet1/0/13|GigabitEthernet1/0/13@sjc22-21a-access1|Wireless AP only|1000000000|6|2c:36:f8:1a:0d:0d|SwitchPort|1|1|1|1899-12-31|2199-12-31
356|690361|10.32.202.30|678686_10.34.215.21|10115|GigabitEthernet1/0/15|GigabitEthernet1/0/15@sjc22-21a-access1|Wireless AP only|1000000000|6|2c:36:f8:1a:0d:0f|SwitchPort|1|1|1|1899-12-31|2199-12-31
357|690362|10.32.202.30|678686_10.34.215.21|10131|GigabitEthernet1/0/31|GigabitEthernet1/0/31@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:1f|SwitchPort|1|2|1|1899-12-31|2199-12-31
358|690363|10.32.202.30|678686_10.34.215.21|10132|GigabitEthernet1/0/32|GigabitEthernet1/0/32@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:20|SwitchPort|1|2|1|1899-12-31|2199-12-31
359|690364|10.32.202.30|678686_10.34.215.21|10133|GigabitEthernet1/0/33|GigabitEthernet1/0/33@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:21|SwitchPort|1|2|1|1899-12-31|2199-12-31
360|690365|10.32.202.30|678686_10.34.215.21|10134|GigabitEthernet1/0/34|GigabitEthernet1/0/34@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:22|SwitchPort|1|2|1|1899-12-31|2199-12-31
361|690366|10.32.202.30|678686_10.34.215.21|10135|GigabitEthernet1/0/35|GigabitEthernet1/0/35@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:23|SwitchPort|1|2|1|1899-12-31|2199-12-31
362|690367|10.32.202.30|678686_10.34.215.21|10136|GigabitEthernet1/0/36|GigabitEthernet1/0/36@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:24|SwitchPort|1|2|1|1899-12-31|2199-12-31
363|690368|10.32.202.30|678686_10.34.215.21|10137|GigabitEthernet1/0/37|GigabitEthernet1/0/37@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:25|SwitchPort|1|2|1|1899-12-31|2199-12-31
364|690369|10.32.202.30|678686_10.34.215.21|10138|GigabitEthernet1/0/38|GigabitEthernet1/0/38@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:26|SwitchPort|1|2|1|1899-12-31|2199-12-31
365|690370|10.32.202.30|678686_10.34.215.21|10139|GigabitEthernet1/0/39|GigabitEthernet1/0/39@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:27|SwitchPort|1|2|1|1899-12-31|2199-12-31
366|690371|10.32.202.30|678686_10.34.215.21|10140|GigabitEthernet1/0/40|GigabitEthernet1/0/40@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:28|SwitchPort|1|2|1|1899-12-31|2199-12-31
367|690372|10.32.202.30|678686_10.34.215.21|10141|GigabitEthernet1/0/41|GigabitEthernet1/0/41@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:29|SwitchPort|1|2|1|1899-12-31|2199-12-31
368|690373|10.32.202.30|678686_10.34.215.21|10142|GigabitEthernet1/0/42|GigabitEthernet1/0/42@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:2a|SwitchPort|1|2|1|1899-12-31|2199-12-31
369|690374|10.32.202.30|678686_10.34.215.21|10143|GigabitEthernet1/0/43|GigabitEthernet1/0/43@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:2b|SwitchPort|1|2|1|1899-12-31|2199-12-31
370|690375|10.32.202.30|678686_10.34.215.21|10144|GigabitEthernet1/0/44|GigabitEthernet1/0/44@sjc22-21a-access1|Unknown|1000000000|6|2c:36:f8:1a:0d:2c|SwitchPort|1|1|1|1899-12-31|2199-12-31
371|690376|10.32.202.30|678686_10.34.215.21|10145|GigabitEthernet1/0/45|GigabitEthernet1/0/45@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:1a:0d:2d|SwitchPort|1|1|1|1899-12-31|2199-12-31
372|690377|10.32.202.30|678686_10.34.215.21|10146|GigabitEthernet1/0/46|GigabitEthernet1/0/46@sjc22-21a-access1|Unknown|1000000000|6|2c:36:f8:1a:0d:2e|SwitchPort|1|1|1|1899-12-31|2199-12-31
373|690378|10.32.202.30|678686_10.34.215.21|10147|GigabitEthernet1/0/47|GigabitEthernet1/0/47@sjc22-21a-access1|Unknown|1000000000|6|2c:36:f8:1a:0d:2f|SwitchPort|1|1|1|1899-12-31|2199-12-31
374|690379|10.32.202.30|678686_10.34.215.21|10148|GigabitEthernet1/0/48|GigabitEthernet1/0/48@sjc22-21a-access1|Unknown|1000000000|6|2c:36:f8:1a:0d:30|SwitchPort|1|1|1|1899-12-31|2199-12-31
375|690380|10.32.202.30|678686_10.34.215.21|10601|GigabitEthernet2/0/1|GigabitEthernet2/0/1@sjc22-21a-access1|Unknown|100000000|6|2c:36:f8:15:85:81|SwitchPort|1|1|1|1899-12-31|2199-12-31
376|690381|10.32.202.30|678686_10.34.215.21|10614|GigabitEthernet2/0/14|GigabitEthernet2/0/14@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:8e|SwitchPort|1|2|1|1899-12-31|2199-12-31
377|690382|10.32.202.30|678686_10.34.215.21|10615|GigabitEthernet2/0/15|GigabitEthernet2/0/15@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:8f|SwitchPort|2|2|1|1899-12-31|2199-12-31
378|690383|10.32.202.30|678686_10.34.215.21|10616|GigabitEthernet2/0/16|GigabitEthernet2/0/16@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:90|SwitchPort|1|2|1|1899-12-31|2199-12-31
379|690384|10.32.202.30|678686_10.34.215.21|10618|GigabitEthernet2/0/18|GigabitEthernet2/0/18@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:92|SwitchPort|1|2|1|1899-12-31|2199-12-31
380|690385|10.32.202.30|678686_10.34.215.21|10619|GigabitEthernet2/0/19|GigabitEthernet2/0/19@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:93|SwitchPort|2|2|1|1899-12-31|2199-12-31
381|690386|10.32.202.30|678686_10.34.215.21|10620|GigabitEthernet2/0/20|GigabitEthernet2/0/20@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:94|SwitchPort|1|2|1|1899-12-31|2199-12-31
382|690387|10.32.202.30|678686_10.34.215.21|10621|GigabitEthernet2/0/21|GigabitEthernet2/0/21@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:95|SwitchPort|1|2|1|1899-12-31|2199-12-31
383|690388|10.32.202.30|678686_10.34.215.21|10622|GigabitEthernet2/0/22|GigabitEthernet2/0/22@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:96|SwitchPort|1|2|1|1899-12-31|2199-12-31
384|690389|10.32.202.30|678686_10.34.215.21|10623|GigabitEthernet2/0/23|GigabitEthernet2/0/23@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:97|SwitchPort|2|2|1|1899-12-31|2199-12-31
385|690390|10.32.202.30|678686_10.34.215.21|10624|GigabitEthernet2/0/24|GigabitEthernet2/0/24@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:98|SwitchPort|1|2|1|1899-12-31|2199-12-31
386|690391|10.32.202.30|678686_10.34.215.21|10625|GigabitEthernet2/0/25|GigabitEthernet2/0/25@sjc22-21a-access1|Unknown|1000000000|6|2c:36:f8:15:85:99|SwitchPort|1|1|1|1899-12-31|2199-12-31
387|690392|10.32.202.30|678686_10.34.215.21|10626|GigabitEthernet2/0/26|GigabitEthernet2/0/26@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:9a|SwitchPort|2|2|1|1899-12-31|2199-12-31
388|690393|10.32.202.30|678686_10.34.215.21|10627|GigabitEthernet2/0/27|GigabitEthernet2/0/27@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:9b|SwitchPort|1|2|1|1899-12-31|2199-12-31
389|690394|10.32.202.30|678686_10.34.215.21|10628|GigabitEthernet2/0/28|GigabitEthernet2/0/28@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:9c|SwitchPort|1|2|1|1899-12-31|2199-12-31
390|690395|10.32.202.30|678686_10.34.215.21|10629|GigabitEthernet2/0/29|GigabitEthernet2/0/29@sjc22-21a-access1|Unknown|1000000000|6|2c:36:f8:15:85:9d|SwitchPort|1|1|1|1899-12-31|2199-12-31
391|690396|10.32.202.30|678686_10.34.215.21|10630|GigabitEthernet2/0/30|GigabitEthernet2/0/30@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:9e|SwitchPort|1|2|1|1899-12-31|2199-12-31
392|690397|10.32.202.30|678686_10.34.215.21|10631|GigabitEthernet2/0/31|GigabitEthernet2/0/31@sjc22-21a-access1|ASTON ORANGE port|1000000000|6|2c:36:f8:15:85:9f|SwitchPort|1|1|1|1899-12-31|2199-12-31
393|690398|10.32.202.30|678686_10.34.215.21|10632|GigabitEthernet2/0/32|GigabitEthernet2/0/32@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:a0|SwitchPort|1|2|1|1899-12-31|2199-12-31
394|690399|10.32.202.30|678686_10.34.215.21|10633|GigabitEthernet2/0/33|GigabitEthernet2/0/33@sjc22-21a-access1|jchao|1000000000|6|2c:36:f8:15:85:a1|SwitchPort|1|1|1|1899-12-31|2199-12-31
395|690400|10.32.202.30|678686_10.34.215.21|10634|GigabitEthernet2/0/34|GigabitEthernet2/0/34@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:a2|SwitchPort|1|2|1|1899-12-31|2199-12-31
396|690401|10.32.202.30|678686_10.34.215.21|10635|GigabitEthernet2/0/35|GigabitEthernet2/0/35@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:a3|SwitchPort|1|2|1|1899-12-31|2199-12-31
397|690402|10.32.202.30|678686_10.34.215.21|10636|GigabitEthernet2/0/36|GigabitEthernet2/0/36@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:a4|SwitchPort|1|2|1|1899-12-31|2199-12-31
398|690403|10.32.202.30|678686_10.34.215.21|10637|GigabitEthernet2/0/37|GigabitEthernet2/0/37@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:a5|SwitchPort|1|2|1|1899-12-31|2199-12-31
399|690404|10.32.202.30|678686_10.34.215.21|10638|GigabitEthernet2/0/38|GigabitEthernet2/0/38@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:a6|SwitchPort|1|2|1|1899-12-31|2199-12-31
400|690405|10.32.202.30|678686_10.34.215.21|10639|GigabitEthernet2/0/39|GigabitEthernet2/0/39@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:a7|SwitchPort|1|2|1|1899-12-31|2199-12-31
401|690406|10.32.202.30|678686_10.34.215.21|10640|GigabitEthernet2/0/40|GigabitEthernet2/0/40@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:a8|SwitchPort|1|2|1|1899-12-31|2199-12-31
402|690407|10.32.202.30|678686_10.34.215.21|10641|GigabitEthernet2/0/41|GigabitEthernet2/0/41@sjc22-21a-access1|Unknown|100000000|6|2c:36:f8:15:85:a9|SwitchPort|1|1|1|1899-12-31|2199-12-31
403|690408|10.32.202.30|678686_10.34.215.21|10642|GigabitEthernet2/0/42|GigabitEthernet2/0/42@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:aa|SwitchPort|1|2|1|1899-12-31|2199-12-31
404|690409|10.32.202.30|678686_10.34.215.21|10643|GigabitEthernet2/0/43|GigabitEthernet2/0/43@sjc22-21a-access1|Unknown|1000000000|6|2c:36:f8:15:85:ab|SwitchPort|1|1|1|1899-12-31|2199-12-31
405|690410|10.32.202.30|678686_10.34.215.21|10644|GigabitEthernet2/0/44|GigabitEthernet2/0/44@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:ac|SwitchPort|1|2|1|1899-12-31|2199-12-31
406|690411|10.32.202.30|678686_10.34.215.21|10645|GigabitEthernet2/0/45|GigabitEthernet2/0/45@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:ad|SwitchPort|1|2|1|1899-12-31|2199-12-31
407|690412|10.32.202.30|678686_10.34.215.21|10646|GigabitEthernet2/0/46|GigabitEthernet2/0/46@sjc22-21a-access1|Unknown|1000000000|6|2c:36:f8:15:85:ae|SwitchPort|1|1|1|1899-12-31|2199-12-31
408|690413|10.32.202.30|678686_10.34.215.21|10647|GigabitEthernet2/0/47|GigabitEthernet2/0/47@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:af|SwitchPort|1|2|1|1899-12-31|2199-12-31
409|690414|10.32.202.30|678686_10.34.215.21|10648|GigabitEthernet2/0/48|GigabitEthernet2/0/48@sjc22-21a-access1|Unknown|10000000|6|2c:36:f8:15:85:b0|SwitchPort|1|2|1|1899-12-31|2199-12-31
410|690415|10.32.202.30|678686_10.34.215.21|11101|GigabitEthernet3/0/1|GigabitEthernet3/0/1@sjc22-21a-access1|Ranga Port|1000000000|6|8c:b6:4f:1f:03:81|SwitchPort|1|1|1|1899-12-31|2199-12-31
411|690416|10.32.202.30|678686_10.34.215.21|11103|GigabitEthernet3/0/3|GigabitEthernet3/0/3@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:83|SwitchPort|1|2|1|1899-12-31|2199-12-31
412|690417|10.32.202.30|678686_10.34.215.21|11104|GigabitEthernet3/0/4|GigabitEthernet3/0/4@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:84|SwitchPort|1|2|1|1899-12-31|2199-12-31
413|690418|10.32.202.30|678686_10.34.215.21|11105|GigabitEthernet3/0/5|GigabitEthernet3/0/5@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:85|SwitchPort|1|2|1|1899-12-31|2199-12-31
414|690419|10.32.202.30|678686_10.34.215.21|11106|GigabitEthernet3/0/6|GigabitEthernet3/0/6@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:86|SwitchPort|1|2|1|1899-12-31|2199-12-31
415|690420|10.32.202.30|678686_10.34.215.21|11107|GigabitEthernet3/0/7|GigabitEthernet3/0/7@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:87|SwitchPort|1|2|1|1899-12-31|2199-12-31
416|690421|10.32.202.30|678686_10.34.215.21|11108|GigabitEthernet3/0/8|GigabitEthernet3/0/8@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:88|SwitchPort|1|2|1|1899-12-31|2199-12-31
417|690422|10.32.202.30|678686_10.34.215.21|11109|GigabitEthernet3/0/9|GigabitEthernet3/0/9@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:89|SwitchPort|1|2|1|1899-12-31|2199-12-31
418|690423|10.32.202.30|678686_10.34.215.21|11110|GigabitEthernet3/0/10|GigabitEthernet3/0/10@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:8a|SwitchPort|1|2|1|1899-12-31|2199-12-31
419|690424|10.32.202.30|678686_10.34.215.21|11111|GigabitEthernet3/0/11|GigabitEthernet3/0/11@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:8b|SwitchPort|1|2|1|1899-12-31|2199-12-31
420|690425|10.32.202.30|678686_10.34.215.21|11112|GigabitEthernet3/0/12|GigabitEthernet3/0/12@sjc22-21a-access1|Unknown|10000000|6|8c:b6:4f:1f:03:8c|SwitchPort|1|2|1|1899-12-31|2199-12-31
